example_id                                                                  | status  | run_time        |
./spec/api/report_api_spec.rb[1:1:3:1]                                      | passed  | 1.54 seconds    |
./spec/api/report_api_spec.rb[1:1:4:1]                                      | passed  | 1.39 seconds    |
./spec/api/report_api_spec.rb[1:1:4:2:1]                                    | passed  | 1.29 seconds    |
./spec/api/report_api_spec.rb[1:1:4:2:2]                                    | passed  | 1.37 seconds    |
./spec/api/report_api_spec.rb[1:1:4:2:3]                                    | passed  | 1.3 seconds     |
./spec/api/report_api_spec.rb[1:1:4:2:4]                                    | passed  | 1.33 seconds    |
./spec/api/report_api_spec.rb[1:1:4:2:5]                                    | passed  | 1.32 seconds    |
./spec/api/report_api_spec.rb[1:1:4:2:6:1]                                  | passed  | 1.36 seconds    |
./spec/api/report_api_spec.rb[1:1:4:2:7:1]                                  | passed  | 1.36 seconds    |
./spec/api/report_api_spec.rb[1:1:5:1]                                      | passed  | 1.05 seconds    |
./spec/api/report_api_spec.rb[1:1:6:1]                                      | passed  | 1.01 seconds    |
./spec/api/report_api_spec.rb[1:1:7:1:1]                                    | passed  | 1.13 seconds    |
./spec/api/report_api_spec.rb[1:1:7:2:1]                                    | passed  | 1.03 seconds    |
./spec/api/report_api_spec.rb[1:1:8:1]                                      | passed  | 1.11 seconds    |
./spec/api/report_api_spec.rb[1:1:8:2]                                      | passed  | 1.02 seconds    |
./spec/api/report_api_spec.rb[1:1:9:1]                                      | passed  | 1.05 seconds    |
./spec/api/report_template_api_spec.rb[1:1:1:1]                             | passed  | 0.16418 seconds |
./spec/api/report_template_api_spec.rb[1:1:2:1]                             | passed  | 0.14974 seconds |
./spec/api/report_template_api_spec.rb[1:1:3:1]                             | passed  | 0.21631 seconds |
./spec/api/report_template_api_spec.rb[1:1:4:1]                             | passed  | 0.14215 seconds |
./spec/api/report_template_api_spec.rb[1:1:5:1]                             | passed  | 0.14212 seconds |
./spec/api/report_template_api_spec.rb[1:2:1:1]                             | passed  | 0.13429 seconds |
./spec/api/report_template_api_spec.rb[1:2:2:1]                             | passed  | 0.13027 seconds |
./spec/api/report_template_api_spec.rb[1:2:3:1]                             | passed  | 0.11624 seconds |
./spec/api/report_template_api_spec.rb[1:2:4:1]                             | passed  | 0.12457 seconds |
./spec/api/research_plan_api_spec.rb[1:1:1:1:1]                             | passed  | 0.28667 seconds |
./spec/api/research_plan_api_spec.rb[1:1:1:1:2]                             | passed  | 0.37026 seconds |
