Onthology ID;Ontology Name;Custom Name;Full Link;Parent
CHMO:0002035;CHMO: 129I Mossbauer spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002035;
CHMO:0002036;CHMO: 197Au Mossbauer spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002036;
CHMO:0000419;CHMO: nuclear spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000419;
CHMO:0000421;CHMO: impedance spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000421;
CHMO:0000422;CHMO: alternating current impedance spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000422;
CHMO:0000423;CHMO: electrochemical-induced impedance spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000423;
CHMO:0000876;CHMO: Fourier transform electrochemical-induced impedance spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000876;
CHMO:0000424;CHMO: laser-induced impedance spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000424;
CHMO:0000425;CHMO: ion spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000425;
CHMO:0000426;CHMO: ion-beam spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000426;
CHMO:0000427;CHMO: direct recoil spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000427;
CHMO:0000428;CHMO: ion microprobe spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000428;
CHMO:0000429;CHMO: low-energy radioactive ion-beam spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000429;
CHMO:0000430;CHMO: ion mobility spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000430;
CHMO:0000431;CHMO: differential mobility spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000431;
CHMO:0000432;CHMO: drift tube ion mobility spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000432;
CHMO:0000434;CHMO: Rutherford backscattering spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000434;
CHMO:0000435;CHMO: laser spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000435;
CHMO:0000436;CHMO: laser absorption spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000436;
CHMO:0000437;CHMO: direct laser absorption spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000437;
CHMO:0000438;CHMO: collinear laser spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000438;
CHMO:0000439;CHMO: collinear fast atom-beam spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000439;
CHMO:0000440;CHMO: collinear laser ion-beam spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000440;
CHMO:0000441;CHMO: collinear fast ion-beam laser spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000441;
CHMO:0000442;CHMO: tunable diode laser absorption spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000442;
