Ontology ID;Ontology Name;Custom Label;Link;Roles;;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:41981;Deuterium oxide;D2O;http://purl.obolibrary.org/obo/CHEBI_41981;"=solvent;";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:49474;argon(0);Ar;http://purl.obolibrary.org/obo/CHEBI_49474;"=solvent;";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:85365;Deuterated chloroform;CDCl3;http://purl.obolibrary.org/obo/CHEBI_85365;"=solvent;";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:49637;Hydrogen (atom);Hydrogen;http://purl.obolibrary.org/obo/CHEBI_49637;"=detector,CHMO:0001075(class);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:25555;nitrogen (atom);Nitrogen;http://purl.obolibrary.org/obo/CHEBI_25555;"=detector,CHMO:0001075(class);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:26833;sullfur (atom);Sulfur;http://purl.obolibrary.org/obo/CHEBI_26833;"=detector,CHMO:0001075(class);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:27594;Carbon (atom);Carbon;http://purl.obolibrary.org/obo/CHEBI_27594;"=detector,CHMO:0001075(class);";;;;;;;;;;;;;;;;;;;;;;;;
ENVO:01001069;metal ;Metal;http://purl.obolibrary.org/obo/ENVO_01001069;"=material;";;;;;;;;;;;;;;;;;;;;;;;;
D011138;Polytetrafluoroethylene;PTFE;http://id.nlm.nih.gov/mesh/D011138;"=material;";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000003;electrochemical analysis;;http://purl.obolibrary.org/obo/CHMO_0000003;;;;;;;;;;;;;;;;;;;;;;;;;
OBI:0000372;material separation function;;http://purl.obolibrary.org/obo/OBI_0000372;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000004;amperometry;;http://purl.obolibrary.org/obo/CHMO_0000004;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000005;chrono-amperometry;;http://purl.obolibrary.org/obo/CHMO_0000005;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000006;high-speed chrono-amperometry;;http://purl.obolibrary.org/obo/CHMO_0000006;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000007;potential step chrono-amperometry;;http://purl.obolibrary.org/obo/CHMO_0000007;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000008;constant potential amperometry;;http://purl.obolibrary.org/obo/CHMO_0000008;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000009;direct current amperometry;;http://purl.obolibrary.org/obo/CHMO_0000009;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000012;coulometry;;http://purl.obolibrary.org/obo/CHMO_0000012;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000013;amperostatic coulometry;;http://purl.obolibrary.org/obo/CHMO_0000013;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000014;chrono-coulometry;;http://purl.obolibrary.org/obo/CHMO_0000014;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000015;potentiostatic coulometry;;http://purl.obolibrary.org/obo/CHMO_0000015;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000016;potentiometry;;http://purl.obolibrary.org/obo/CHMO_0000016;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000017;chrono-potentiometry;;http://purl.obolibrary.org/obo/CHMO_0000017;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000018;stripping potentiometry;;http://purl.obolibrary.org/obo/CHMO_0000018;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000019;anodic stripping potentiometry;;http://purl.obolibrary.org/obo/CHMO_0000019;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000020;cathodic stripping potentiometry;;http://purl.obolibrary.org/obo/CHMO_0000020;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000021;controlled-current potentiometry;;http://purl.obolibrary.org/obo/CHMO_0000021;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000022;ion-selective potentiometry;;http://purl.obolibrary.org/obo/CHMO_0000022;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000023;oscillographic potentiometry;;http://purl.obolibrary.org/obo/CHMO_0000023;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000024;voltammetry;;http://purl.obolibrary.org/obo/CHMO_0000024;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000025;cyclic voltammetry;;http://purl.obolibrary.org/obo/CHMO_0000025;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000026;fast-scan cyclic voltammetry;;http://purl.obolibrary.org/obo/CHMO_0000026;;;;;;;;;;;;;;;;;;;;;;;;;
